Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Earnings per share basic, Trailing 12 months","Earnings per share basic, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
TCS,TECSYS Inc.,12.3570192343001,CAD,0.3669,CAD,0.3648,CAD,0.999061265759174,CAD,0.8992560204958546,CAD,0.15549172981724746,CAD,0.4269297149134459,CAD,4.62227,CAD,0.02939008907012852,CAD,2.049101221484384,CAD
DEFI,DeFi Technologies Inc,0.273822138695602,CAD,-0.2805,CAD,-0.2974,CAD,-0.133516034947197,CAD,,,-0.17682891783952256,CAD,-0.1708165431589762,CAD,0.40954,CAD,0.059752516495924266,CAD,3.5118435047396077,CAD
BCM,Bear Creek Mining Corporation,0.470961685281957,CAD,-0.4721,CAD,-0.4721,CAD,-0.0222409814866906,CAD,-0.08777678136468427,CAD,-0.14502211399894072,CAD,0.037340158083257996,CAD,-0.10544,CAD,0.45516170753164914,CAD,0.011038783381723436,CAD
GO.U,GO Residential Real Estate Investment Trust,,,,,,,,,,,,,,,45.664151142050166,CAD,55.72760368908214,CAD,1.666430688409265,CAD
PGDC,Patagonia Gold Corp,0.0277782361996608,CAD,-0.0237,CAD,-0.0237,CAD,-0.0208744756292895,CAD,-0.0906309750776199,CAD,-0.023561928594186418,CAD,-0.01833882953476829,CAD,-0.01937,CAD,0.15182532368620086,CAD,0.045914108134563765,CAD
ANRG,"Anaergia, Inc.",0.838611418750799,CAD,-0.1333,CAD,-0.1333,CAD,0.0674447840270225,CAD,0.022916586356383953,CAD,-0.14434820452993466,CAD,-0.11004653444215046,CAD,-0.36727,CAD,0.39148376653853434,CAD,0.23036415720219686,CAD
ELO,Eloro Resources Ltd.,0,CAD,-0.076,CAD,-0.076,CAD,-0.0262990741525133,CAD,-0.026299111153777678,CAD,-0.0657132279538558,CAD,-0.06530297643535628,CAD,0.69489,CAD,0.00047845409901579037,CAD,0.1165182857380828,CAD
VLN,Velan Inc.,19.148179548331,CAD,-1.9975,CAD,-1.9975,CAD,-11.4689141696476,CAD,-11.768964869460639,CAD,0.8343104106040892,CAD,1.4369278457640926,CAD,12.00062,CAD,2.555327946108604,CAD,2.37036423297253,CAD
RDS,Radisson Mining Resources Inc.,0,CAD,-0.0047,CAD,-0.0047,CAD,-0.00249127488537115,CAD,-0.002688838584394477,CAD,-0.006815463153390102,CAD,-0.006566318729473157,CAD,0.17337,CAD,0,CAD,0.035694899959504735,CAD
MOON,Blue Moon Metals Inc,0,CAD,-0.4013,CAD,-0.4013,CAD,-0.305911106304332,CAD,-0.40930460999404156,CAD,-0.4119720523135763,CAD,-0.3936379447028728,CAD,2.7735,CAD,0.29413585895222183,CAD,0.5607418821552081,CAD
