Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
GMIN,G Mining Ventures Corp,Buy,Strong buy,Neutral,57.48908301526405,4.409999999999997,3.11814705882351,51.70203327532352,75.99214303669648,68.42706298199668,
OR,OR Royalties Inc.,Strong buy,Strong buy,Neutral,55.673478514129364,6.719999999999999,0.8176911764706674,26.235999450286116,73.02181900952752,60.17678566057926,
NXE,NexGen Energy Ltd.,Strong buy,Strong buy,Neutral,58.19497692505088,1.7500000000000018,0.03152941176469426,43.07188145615399,72.06900132671082,59.81128837918923,Spinning Top Black
EMP.A,Empire Co Ltd Class A,Neutral,Neutral,Neutral,52.12803525348242,-0.1699999999999946,2.0637205882352703,51.971775119517396,78.75461372024947,85.18366768967516,
CS,Capstone Copper Corp.,Neutral,Sell,Buy,43.50809278282605,-0.9100000000000001,-0.6200294117646941,-156.40961232521147,23.62040635900203,22.543587760190643,
TFPM,Triple Flag Precious Metals Corp.,Strong buy,Strong buy,Buy,56.6341036032266,6.520000000000003,-0.5431176470588781,47.71093080018495,76.45961193830348,59.0293474843267,
GRGD,Groupe Dynamite Inc.,Strong buy,Strong buy,Buy,75.99364032772806,17.58999999999999,5.605529411764692,229.91120526979947,94.20784947016568,95.07737266902683,
CTC,"Canadian Tire Corporation, Limited",Neutral,Sell,Neutral,47.355801994348624,-1,-6.449911764705831,6.208287644342616,42.534063773001876,33.45039097251493,
CPX,Capital Power Corporation,Buy,Strong buy,Buy,65.69337506318189,7.039999999999999,2.5852500000000447,131.13342610854477,96.36039739636863,93.81855035452158,
BTO,B2Gold Corp.,Strong buy,Strong buy,Neutral,54.84670422744625,0.8899999999999997,0.23210294117647035,21.429203931638845,54.17624880712128,52.90645223531129,
FSV,FirstService Corp,Sell,Strong sell,Neutral,47.72065160684839,-4.199999999999989,-5.409588235293228,-33.64906433629826,47.41130750908865,43.64631649325145,
U.U,Sprott Physical Uranium Trust,Buy,Strong buy,Neutral,52.662858065904175,1.1600000000000001,-0.30789705882354923,-13.721484508001373,44.78497172324873,31.784382324411443,Doji
ARTG,Artemis Gold Inc,Buy,Strong buy,Neutral,51.90873367128825,3.229999999999997,-1.3320441176470723,-32.48776303710626,36.780442414245236,22.8261215542644,
SOBO,South Bow Corp,Strong buy,Strong buy,Buy,78.28361152146263,3.049999999999997,2.9808235294117225,190.87225250969394,92.90011901222444,88.62863138391731,
OLA,Orla Mining Ltd.,Strong buy,Strong buy,Buy,62.097154116509174,5.520000000000003,1.4338970588235362,87.79220282960284,80.49145779033937,65.36731571924494,
OTEX,Open Text Corporation,Sell,Strong sell,Buy,38.676806402951804,2.6499999999999986,-4.760705882352923,-19.202934201498888,56.23015873015874,47.099880616272536,Long Upper Shadow
DOO,"BRP, Inc.",Strong buy,Strong buy,Buy,60.5623534210178,7.039999999999992,2.5211470588232885,136.41299753548992,89.72317345451673,82.51273417201567,
DFY,Definity Financial Corp.,Sell,Strong sell,Buy,44.69968152350147,-1.0300000000000011,-3.48700000000008,-8.632005422926824,62.56410256410255,56.00932927111021,
DSV,Discovery Silver Corp,Buy,Buy,Neutral,51.22725480585896,1.08,0.004691176470593916,-36.206646350312276,39.95114368198979,33.84519252959903,
CIGI,Colliers International Group Inc.,Sell,Strong sell,Sell,32.38957942294,-27.51000000000002,-33.25397058823526,-108.70352179055345,34.339957231523485,31.855560771223413,
DSG,Descartes Systems Group Inc.,Sell,Strong sell,Neutral,33.65124630748754,-1.2000000000000028,-16.268970588235433,-44.450480009986734,22.910721565430066,19.458494510428263,
TOI,"Topicus.com, Inc.",Sell,Strong sell,Buy,35.40965780151626,-6.230000000000004,-19.25283823529405,-55.148773878620474,28.36760592082106,19.183063901723518,
ONEX,Onex Corporation,Strong sell,Strong sell,Sell,36.21519401820952,-0.9899999999999949,-6.358176470588191,-69.04727690760039,20.45398470268941,22.337363270005785,
WFG,West Fraser Timber Co. Ltd.,Sell,Strong sell,Sell,39.94293563992457,-8.510000000000005,2.085382352941025,-116.62678643810902,32.285707527257365,44.738640940167215,
KNT,"K92 Mining, Inc.",Buy,Strong buy,Neutral,59.86749906844914,3.460000000000001,1.2312205882352885,106.33383484139007,81.58871566443945,70.36589554021172,
PSK,PrairieSky Royalty Ltd,Buy,Strong buy,Neutral,63.46494801528384,0.8000000000000007,1.6923235294118264,109.42398659664083,77.42329859696103,71.82813095070286,
AQN,Algonquin Power & Utilities Corp.,Buy,Strong buy,Neutral,59.0305952196128,0.20000000000000107,0.2933382352941152,106.25512155147463,71.38270479662755,76.99107118289483,
CSH.UN,Chartwell Retirement Residences,Buy,Strong buy,Neutral,64.31428125229988,0.8000000000000007,0.949794117647091,116.73845239863384,81.9209039548022,87.58442531625595,
BYD,Boyd Group Services Inc,Strong buy,Strong buy,Neutral,56.897887533671486,4.899999999999977,5.229397058823764,71.05560259666889,59.239562299221596,52.47512049531972,
NGEX,NGEx Minerals Ltd.,Buy,Strong buy,Neutral,55.9979454276298,2.8099999999999987,0.5378529411764568,82.14280606918702,66.89589390150518,53.497084821418525,Spinning Top White
SCR,Strathcona Resources Ltd.,Neutral,Neutral,Buy,64.45241664555343,3,1.8396470588235587,176.58060097084515,95.69156128211246,95.14204658366161,"Hammer, Long Lower Shadow"
ACO.X,ATCO Ltd. Class I,Buy,Strong buy,Neutral,78.45546270535912,3.6000000000000014,3.5298676470589996,179.1802590908581,98.19928237317231,98.49904674501613,
TXG,Torex Gold Resources Inc.,Buy,Strong buy,Neutral,50.908487879198304,7.739999999999995,-7.885029411764705,-7.460759249910542,46.61407218329091,25.548479667684884,
AC,Air Canada,Strong buy,Strong buy,Buy,60.81871678602429,0.20000000000000284,0.8694705882352594,86.25866638479995,88.41103792672952,81.23896853071592,
ELF,E-L Financial Corporation Limited,Neutral,Neutral,Neutral,48.64192834279987,0.08999999999999986,-0.0036470588235424373,-34.796099290781,47.3251028806586,56.245425945046954,
ARIS,Aris Mining Corp,Strong buy,Strong buy,Buy,60.43066506447149,4.370000000000001,0.7119558823529495,104.81872072530551,79.75499628895494,61.85861836614282,
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Sell,Strong sell,Neutral,48.113259570848605,-0.0800000000000054,-0.7095441176470203,-94.74392235998056,44.01294498381886,43.52750809061496,
SKE,Skeena Resources Limited,Strong buy,Strong buy,Buy,62.08229766419121,8.020000000000003,3.86932352941178,125.92234938282861,87.47398794302808,74.40407304871286,
EIF,Exchange Income Corporation,Strong buy,Strong buy,Buy,70.62442136346299,3.1500000000000057,5.091323529411937,162.17340980323317,93.78722470789346,85.31556986713504,
REI.UN,RioCan Real Estate Investment Trust,Sell,Sell,Neutral,49.24317711425695,-0.3099999999999987,0.040176470588239255,-55.81671113373347,50.868838763575546,65.97801087079836,
LNR,Linamar Corporation,Strong buy,Strong buy,Buy,63.642738607777076,6.25,4.3668088235294675,133.87803840743047,76.87482438683844,78.64962772423682,
MAU,Montage Gold Corp.,Strong buy,Strong buy,Buy,64.02918789435842,3.130000000000001,2.3227941176470566,108.48190955384594,74.01129943502822,66.26311541565785,
PBH,Premium Brands Holdings Corporation,Strong buy,Strong buy,Buy,70.90060212411343,6.329999999999998,5.069588235294006,103.24460147797478,95.00035152582893,93.52416360977053,
TA,TransAlta Corporation,Buy,Strong buy,Neutral,55.097915694561536,1.5499999999999972,0.6694117647058242,61.848624636938744,86.3636363636363,79.9480655612731,Long Lower Shadow
GRT.UN,Granite Real Estate Investment Trust,Buy,Strong buy,Neutral,54.6682497246765,-0.9500000000000028,0.9067794117648589,24.267543232813743,45.67259900593234,55.397141205222056,
SJ,Stella-Jones Inc.,Buy,Strong buy,Neutral,60.62216759264348,0.0899999999999892,5.293661764706073,32.253778750015535,64.56452110677033,70.22033769522068,Hanging Man
AAUC,Allied Gold Corporation,Buy,Strong buy,Neutral,69.4308330508327,0.3399999999999963,2.4970882352941217,35.15263644773816,59.81449549828636,56.62399968070315,Shooting Star
PEY,Peyto Exploration & Development Corp.,Buy,Strong buy,Neutral,60.90228696595879,1.1099999999999994,2.1991470588235096,92.2569888720847,82.29314497054138,87.52065508935586,
AII,Almonty Industries Inc.,Strong buy,Strong buy,Buy,65.90563469960657,2.8100000000000023,3.3783382352941285,115.96123740647874,92.69559235312774,85.78706359266495,
CG,Centerra Gold Inc.,Buy,Strong buy,Neutral,58.11403432174957,3.5100000000000016,1.3684558823529507,42.5864426645821,73.30257217522806,65.54936573939845,Long Lower Shadow
MX,Methanex Corporation,Buy,Strong buy,Neutral,58.23900276647508,3.049999999999997,1.4956323529412003,95.60407173139443,49.79310344827584,43.382627381415915,
NPI,Northland Power Inc.,Buy,Strong buy,Buy,65.55042369295546,1.0999999999999979,0.6419705882352496,162.296801258545,92.3449031507713,91.01379424295824,
EDR,Endeavour Silver Corp.,Buy,Strong buy,Neutral,57.88485987867423,3.33,-0.11060294117647373,41.88488881853724,70.78383830128219,49.49455962336318,
FVI,Fortuna Mining Corp.,Strong buy,Strong buy,Buy,62.135812528382154,3.41,0.1320147058823391,125.29194720225185,70.35754982038917,53.21583557182595,Marubozu White
SII,Sprott Inc.,Strong buy,Strong buy,Buy,71.6089400862605,40.25999999999999,7.478500000000054,173.11460051520527,78.04648276425426,54.29195700914632,Marubozu White
SEA,Seabridge Gold Inc,Strong buy,Strong buy,Neutral,59.75540663780881,10.07,1.6396911764705848,99.68497759660966,89.05003234997974,80.93312255605454,
PPTA,Perpetua Resources Corp.,Buy,Strong buy,Neutral,51.92453772301306,5.780000000000001,-2.1028823529411014,4.387915263082082,70.37413812887851,50.50735622053737,Doji
LMN,Lumine Group Inc.,Sell,Strong sell,Buy,34.544433094562294,-0.7200000000000024,-4.15901470588231,-50.53234720416155,19.4392523364486,11.785571665413897,
MDA,MDA Space Ltd,Buy,Strong buy,Neutral,63.98418936000226,4.600000000000001,2.371941176470571,101.43266475644748,78.18679115653778,62.03381498025226,
DML,Denison Mines Corp.,Buy,Strong buy,Neutral,59.540307705480664,0.8300000000000001,0.22836764705882384,107.31960602962866,73.11742787814953,58.429505238490286,Spinning Top Black
GEI,Gibson Energy Inc.,Strong buy,Strong buy,Neutral,74.04109040366673,1.6600000000000001,1.751323529411728,181.86856690419802,88.16650717703347,87.87773342919236,
TVE,Tamarack Valley Energy Ltd.,Buy,Strong buy,Sell,61.415176104534126,0.5299999999999994,0.7911911764705906,109.61431998523688,87.51699419107649,83.64437852758206,
SRU.UN,SmartCentres Real Estate Investment Trust,Buy,Strong buy,Neutral,65.54144905651575,0.5300000000000011,0.5200441176470925,169.62194713950615,87.98792756539233,87.73423861923361,
BBUC,Brookfield Business Corp. Class A,Sell,Sell,Neutral,48.98338301106677,0.28000000000000114,-0.7711176470588299,61.679197994988854,45.53878442064629,42.61211206990782,
TPZ,Topaz Energy Corp,Strong buy,Strong buy,Buy,69.62718121898612,1.6999999999999993,1.001867647058809,201.56385751519045,80.971385886986,60.596171344207995,
FCR.UN,First Capital Real Estate Investment Trust,Strong buy,Strong buy,Buy,66.06774588947766,0.4800000000000004,0.7073235294117275,139.2399610589892,79.6261847816458,77.49726872767,
EQB,EQB Inc,Buy,Strong buy,Buy,66.53809151842414,7.269999999999996,10.131867647058755,73.02814464846082,65.54183771871543,76.8135087544084,
ATS,ATS Corporation,Strong buy,Strong buy,Buy,69.20238835056938,4.799999999999997,2.436779411764782,163.7411347517725,93.11732938138219,90.18427000186902,
SES,Secure Waste Infrastructure Corp.,Strong buy,Strong buy,Buy,72.62892618547883,2.030000000000001,1.4440294117646921,185.49099558273812,88.5922030828923,88.25814944993418,
