Symbol,Description,"Gross margin %, Trailing 12 months","Operating margin %, Trailing 12 months","Pretax margin %, Trailing 12 months","Net margin %, Trailing 12 months","Free cash flow margin %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Return on invested capital %, Trailing 12 months","Research & development ratio, Trailing 12 months","Selling, general & admin expenses ratio, Trailing 12 months"
CGM,Canadian Goldfields Discovery Corp,,,,,,-40.097361153016,,,,
STMP,Stamper Oil & Gas Corp,,,,,,-91.6561754535573,-165.47836741013,-165.47836741013,,
TEX,Targa Exploration Corp.,,,,,,-146.621783975296,-234.480689209616,-234.480689209616,,
CBG,"Chibougamau Independent Mines, Inc.",,-143.041666666667,-154.57,-154.57,-197.08333333333334,-15.8585924221024,-16.8632242720459,-16.8632242720459,,
NOP,Nevada Organic Phosphate Inc,,,,,,,,,,
ROX,Canstar Resources Inc.,,,,,,-790.762092508057,,-127437.752808987,,
NINE,Nine Mile Metals Ltd.,,,,,,-17.800955445777,-20.0770564337759,-20.0452002705981,,
SME,Sama Resources Inc.,,,,,,-53.4173037150899,-53.5186473713249,-53.5186473713249,,
VCG,Visionary Copper and Gold Mines Inc.,,,,,,-1.84468511146789,-2.3016595169407,-2.29935322275261,,
LOBE,Lobe Sciences Ltd,,,,,,-127.177181842689,,,,
BVA,Bravada Gold Corporation,,,,,,-49.4043177694031,,,,
KAPA,KAPA Gold Inc,,,,,,-19.5861455980532,-21.6274941217749,-21.6274941217749,,
SMY,Search Minerals Inc.,,,,,,-5.05720430209644,-6.19692865055344,-6.1670259914136,,
TTGI,Turnium Technology Group Inc Class A,54.3490979879096,-57.5695829178511,-155.243800369624,-155.243800369624,-57.90911962822018,-116.179471187516,,,27.61067509253257,84.30800581322816
RDU,Radius Gold Inc.,,,,,,-69.3440674854404,-88.0873354391597,-86.0664616115867,,
BAT,Batero Gold Corp.,,,,,,-1.49782453679813,-1.55953777268871,-1.51016300475126,,
IQ,AirIQ Inc.,53.213644524237,2.96229802513465,3.93177737881508,3.93177737881508,-3.357271095152603,2.37565764495308,2.70353681871489,2.70353681871489,2.333931777378815,47.91741472172352
NBRK,New Break Resources Ltd.,,,,,,11.5549627155311,13.1937717231753,13.1937717231753,,
SR,Strategic Resources Inc.,,,,,,-42.6773552318571,-58.9911984360783,-44.8725064928835,,
EAGL,EagleOne Metals Corporation,,,,,,,,,,
CAF,Canaf Investments Inc.,12.717703257098,9.34101776078295,13.300700394953,8.74094380151018,11.176928915669118,15.1473842863912,20.2945017622303,20.2629821245215,,3.376685496315029
AMCO,Americore Resources Corp,,,,,,-110.034282579878,-70.3609358581452,-70.3609358581452,,
WSK,WildSky Resources Inc.,,,,,,-11.7101162566564,-12.2085429743048,-12.2085429743048,,
